Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Bottled Flame,171,0.1024565608148592,0.3706467661691542,149.0,relic
Auto Shields,169,0.1012582384661474,0.3743781094527363,150.5,card
Runic Capacitor,169,0.1012582384661474,0.3743781094527363,150.5,relic
Turnip,168,0.1006590772917915,0.3793532338308458,152.5,relic
Ghostly,168,0.1006590772917915,0.3793532338308458,152.5,card
Nunchaku,167,0.10005991611743559,0.3843283582089552,154.5,relic
Unceasing Top,167,0.10005991611743559,0.3843283582089552,154.5,relic
OrangePellets,164,0.09826243259436789,0.3880597014925373,156.0,relic
ClockworkSouvenir,158,0.09466746554823248,0.39054726368159204,157.0,relic
WarpedTongs,156,0.09346914319952067,0.39303482587064675,158.0,relic
Du-Vu Doll,154,0.09227082085080887,0.39676616915422885,159.5,relic
Peace Pipe,154,0.09227082085080887,0.39676616915422885,159.5,relic
Busted Crown,134,0.08028759736369083,0.40049751243781095,161.0,relic
Ginger,133,0.07968843618933494,0.40298507462686567,162.0,relic
Shovel,131,0.07849011384062313,0.4054726368159204,163.0,relic
Philosopher's Stone,130,0.07789095266626722,0.4079601990049751,164.0,relic
WingedGreaves,128,0.07669263031755542,0.41044776119402987,165.0,relic
Lockon,127,0.07609346914319952,0.4129353233830846,166.0,card
Black Star,125,0.07489514679448772,0.4154228855721393,167.0,relic
Empty Cage,119,0.0713001797483523,0.4191542288557214,168.5,relic
Discovery,119,0.0713001797483523,0.4191542288557214,168.5,card
Runic Dome,115,0.0689035350509287,0.4228855721393035,170.0,relic
Orrery,111,0.0665068903535051,0.42661691542288555,171.5,relic
Rebound,111,0.0665068903535051,0.42661691542288555,171.5,card
Steam Power,110,0.0659077291791492,0.43034825870646765,173.0,card
Melter,109,0.06530856800479329,0.43283582089552236,174.0,card
Medical Kit,108,0.06470940683043738,0.43532338308457713,175.0,relic
Girya,106,0.06351108448172559,0.43905472636815923,176.5,relic
Master of Strategy,106,0.06351108448172559,0.43905472636815923,176.5,card
FrozenCore,103,0.061713600958657876,0.44402985074626866,178.5,relic
Reprogram,103,0.061713600958657876,0.44402985074626866,178.5,card
Odd Mushroom,101,0.06051527860994608,0.44776119402985076,180.0,relic
Rip and Tear,98,0.05871779508687837,0.4502487562189055,181.0,card
Impatience,95,0.056920311563810666,0.4527363184079602,182.0,card
Madness,91,0.05452366686638706,0.4552238805970149,183.0,card
DollysMirror,90,0.05392450569203116,0.4577114427860697,184.0,relic
Aggregate,86,0.05152786099460755,0.4601990049751244,185.0,card
Velvet Choker,85,0.050928699820251645,0.4626865671641791,186.0,relic
Hello World,84,0.05032953864589575,0.4651741293532338,187.0,card
Dark Shackles,80,0.04793289394847214,0.46766169154228854,188.0,card
